,Pre-pandemic Date,"B.C.

Number of ED visits, pre-pandemic",Post-pandemic Date,"B.C.

Number of ED visits, pandemic period",PRE_MIN_TEMPERATURE,PRE_MEAN_TEMPERATURE,PRE_MAX_TEMPERATURE,PRE_TOTAL_SNOW,PRE_TOTAL_RAIN,PRE_TOTAL_PRECIPITATION,PRE_HEATING_DEGREE_DAYS,PRE_COOLING_DEGREE_DAYS,POST_MIN_TEMPERATURE,POST_MEAN_TEMPERATURE,POST_MAX_TEMPERATURE,POST_TOTAL_SNOW,POST_TOTAL_RAIN,POST_TOTAL_PRECIPITATION,POST_HEATING_DEGREE_DAYS,POST_COOLING_DEGREE_DAYS
472,2019-02-14,"4,279",2021-02-14,"3,471",-10.923502304147464,-6.133333333333333,-1.227853881278539,3.254166666666667,1.8241666666666667,3.815463917525773,24.133333333333333,0.0,-8.593548387096774,-5.043192488262911,-1.4925233644859812,2.475,3.7064814814814815,4.290555555555556,23.04319248826291,0.0
473,2019-02-15,"4,315",2021-02-15,"3,911",-5.523502304147465,-2.672169811320755,0.2088785046728972,0.9447368421052632,2.9556521739130432,3.768041237113402,20.672169811320757,0.0,-5.222119815668203,-2.433953488372093,0.4270642201834863,1.3166666666666669,2.4530434782608697,3.7076142131979695,20.433953488372094,0.0
474,2019-02-16,"4,657",2021-02-16,"4,093",-4.871563981042654,-2.103809523809524,0.7616822429906542,0.3837837837837838,0.4900900900900901,0.7552631578947369,20.103809523809524,0.0,-4.272398190045249,-0.6188073394495414,2.966666666666667,0.7104347826086956,0.6121739130434783,1.5247474747474747,18.618807339449543,0.0
475,2019-02-17,"4,885",2021-02-17,"3,930",-6.90093023255814,-3.147196261682243,0.6842592592592593,0.0594594594594594,0.0108108108108108,0.1436842105263158,21.147196261682243,0.0,-5.564545454545455,-0.8637614678899083,3.906849315068493,0.1568965517241379,0.3965811965811965,0.3807106598984771,18.86376146788991,0.0
476,2019-02-18,"4,960",2021-02-18,"3,897",-9.433333333333334,-4.609905660377359,0.2953917050691244,0.5421052631578948,0.4088495575221239,0.6430051813471502,22.60990566037736,0.0,-5.0,-1.3774647887323943,2.2401869158878505,2.3947368421052637,4.998275862068965,5.3934673366834165,19.377464788732397,0.0
477,2019-02-19,"4,598",2021-02-19,"4,040",-6.483636363636364,-2.992660550458716,0.5082191780821917,1.6398305084745763,1.9638655462184875,3.2648241206030155,20.992660550458712,0.0,-2.813364055299539,0.8155660377358491,4.429906542056075,0.3716814159292035,3.4052631578947365,3.194897959183674,17.18443396226415,0.0
478,2019-02-20,"4,550",2021-02-20,"3,791",-6.108256880733944,-1.6898148148148149,2.680275229357798,0.1777777777777777,0.0525862068965517,0.3195,19.689814814814813,0.0,-2.390610328638497,1.3947115384615385,5.117307692307692,0.6228571428571429,12.48952380952381,8.794179894179894,16.60528846153846,0.0
479,2019-02-21,"4,647",2021-02-21,"3,807",-7.835454545454545,-2.7456621004566206,2.3678733031674204,1.1915254237288135,2.394915254237288,2.4447236180904524,20.74566210045662,0.0,1.3782608695652174,4.635121951219513,7.925238095238095,0.2972477064220183,16.837272727272726,15.220103092783503,13.364878048780488,0.0
480,2019-02-22,"4,404",2021-02-22,"4,144",-4.851152073732719,-1.5061320754716985,1.8990610328638495,2.589189189189189,2.7981981981981985,4.972538860103628,19.506132075471697,0.0,1.4488584474885846,4.656944444444444,7.821100917431193,0.3842105263157894,2.5810344827586205,3.6379310344827593,13.343055555555557,0.0
481,2019-02-23,"4,471",2021-02-23,"3,971",-6.129245283018868,-2.5004761904761907,1.185781990521327,0.5045871559633027,2.6559633027522938,2.5162303664921466,20.500476190476192,0.0,-1.7293023255813953,1.849056603773585,5.466197183098592,0.44,0.6857142857142857,1.2307692307692308,16.150943396226417,0.0
482,2019-02-24,"4,786",2021-02-24,"3,925",-8.029047619047619,-3.5598086124401918,1.0548837209302324,0.0350877192982456,0.2570175438596491,0.2507772020725388,21.559808612440197,0.0,-4.9280373831775695,-0.4607655502392345,4.113809523809524,2.440740740740741,7.477981651376147,6.563636363636364,18.460765550239238,0.0
